Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.03346059,-0.3151049,-0.1237767,-0.1346878,-0.7272121,0.6891481,11.52794,33.62016,-3.397141,992.1839
0.007602691,-0.09560662,-0.4921386,-0.001204393,-0.132208,-0.7291162,0.6905398,10.44349,33.25663,-3.412451,992.1839
0.015205383,-0.157655,-0.3735226,0.05997651,-0.1312877,-0.7252573,0.6930524,10.44349,33.25663,-3.412451,992.1839
0.022808075,-0.1576824,-0.1958029,0.05990077,-0.1346552,-0.7295935,0.6861878,10.44349,33.25663,-3.412451,992.1839
0.032944202,0.215757,-0.07733032,-0.06278413,-0.1370657,-0.7315909,0.6871096,10.44349,33.25663,-3.412451,992.1839
0.040546894,0.1532979,0.2184669,0.4271557,-0.1464286,-0.7274135,0.6862817,10.44349,33.25663,-3.412451,992.1839
0.048150062,0.2153506,0.1591199,0.1205658,-0.1465792,-0.7182217,0.6865209,10.44349,33.25663,-3.412451,992.1839
0.055751323,0.1529702,0.04076198,-0.2469535,-0.1411252,-0.7224912,0.6883249,10.44349,33.25663,-3.412451,992.1839
0.063354015,-0.09600145,-0.2549451,-0.3691765,-0.1361957,-0.7252568,0.6853393,11.9152,33.23055,-2.951981,992.1839
0.070956707,-0.158069,0.1000307,-0.246296,-0.132714,-0.7281523,0.6900834,11.9152,33.23055,-2.951981,992.1839
0.078559398,-0.095723,-0.2549477,-0.4297764,-0.140616,-0.7239138,0.6868373,11.9152,33.23055,-2.951981,992.1839
0.086161136,-0.8419784,0.04129548,-0.3067426,-0.1302192,-0.7305777,0.6943599,11.9152,33.23055,-2.951981,992.1839
0.093763828,-0.03262287,-0.5503408,-0.5515574,-0.1362424,-0.7228004,0.682505,11.9152,33.23055,-2.951981,992.1873
0.101366520,-0.7167602,0.04160787,-0.4897234,-0.1336165,-0.732105,0.694814,11.9152,33.23055,-2.951981,992.1873
0.108968735,-0.280842,-0.8457159,-0.9792964,-0.1371362,-0.7276831,0.6843132,11.14435,33.62465,-3.40065,992.1873
0.116571426,-0.5916215,0.6334984,-0.1822288,-0.1396371,-0.7239001,0.6873176,11.14435,33.62465,-3.40065,992.1873
0.126708030,-0.4045802,-0.7268195,-0.9167727,-0.1298284,-0.72563,0.6867586,11.14435,33.62465,-3.40065,992.1873
0.134309768,-0.5907708,-0.07586055,-0.7322542,-0.1307649,-0.7289613,0.6808786,11.14435,33.62465,-3.40065,992.1873
0.141912460,-0.09263739,0.042549,-0.4865951,-0.1205043,-0.7278347,0.6847396,11.14435,33.62465,-3.40065,992.1873
0.149515152,-0.4034379,0.1015571,-0.118654,-0.1311727,-0.7329353,0.6880221,11.14435,33.62465,-3.40065,992.1873
0.157117843,0.1567161,0.2197995,-0.05728552,-0.133227,-0.727151,0.6867298,11.14544,33.25729,-3.853033,992.1873
0.164720058,-0.2166141,-0.07605762,-0.2409055,-0.1337607,-0.7238307,0.6911651,11.14544,33.25729,-3.853033,992.1873
0.172322273,-0.2163514,0.219627,-0.05704301,-0.1326914,-0.7295974,0.6895628,11.14544,33.25729,-3.853033,992.1914
0.179924965,-0.2782861,-0.07621142,-0.2407017,-0.1395524,-0.7278829,0.6959085,11.14544,33.25729,-3.853033,992.1914
0.187527180,-0.5269099,0.2194176,-0.5467393,-0.1376902,-0.7229303,0.6902348,11.14544,33.25729,-3.853033,992.1914
0.195129871,-0.5887083,-0.1945173,-0.7299751,-0.1361562,-0.7263494,0.6949715,11.14544,33.25729,-3.853033,992.1914
0.202732563,-0.7125869,-0.1352486,-0.4230999,-0.1327733,-0.7251871,0.6853303,11.14544,33.25729,-3.853033,992.1914
0.210334301,-0.4009105,-0.1350654,-0.4838425,-0.1307801,-0.7271137,0.6876891,10.76185,33.26177,-3.856544,992.1914
0.220471859,-0.3381317,-0.1351372,-0.483254,-0.1308138,-0.724726,0.6901665,10.76185,33.26177,-3.856544,992.1932
0.228073597,-0.08900517,0.4561601,-0.176669,-0.1360781,-0.731181,0.6943627,10.76185,33.26177,-3.856544,992.1932
0.235676288,-1.021936,-0.8451337,-0.6664217,-0.1233217,-0.7342523,0.6898953,10.76185,33.26177,-3.856544,992.1932
0.243278980,-0.2745693,0.6335227,-0.2372661,-0.1439665,-0.7292238,0.6804305,10.76185,33.26177,-3.856544,992.1932
0.250881195,-0.8963794,-0.8451202,-0.5431915,-0.1348811,-0.7164688,0.6816992,10.76185,33.26177,-3.856544,992.1932
0.258483410,-0.7709451,-0.0758232,-0.4201855,-0.1350966,-0.7325062,0.6861135,11.14565,33.61576,-2.953634,992.1932
0.266085625,-0.6458832,-0.1940527,-0.54238,-0.1337191,-0.7267022,0.6886752,11.14565,33.61576,-2.953634,992.1932
0.273688316,-0.9561429,-0.193684,-0.3582335,-0.1277448,-0.7333369,0.6870348,11.14565,33.61576,-2.953634,992.1932
0.281291008,-0.3954095,0.1020742,-0.1742028,-0.1331465,-0.731995,0.6870868,11.14565,33.61576,-2.953634,992.1932
0.288893699,-0.8926138,-0.4892106,-0.4190078,-0.1297837,-0.7276338,0.6920198,11.14565,33.61576,-2.953634,992.1932
0.296499729,-0.5184534,-0.01589902,-0.235016,-0.1297944,-0.7275776,0.687674,11.14565,33.61576,-2.953634,992.1932
0.304098129,-0.8289894,-0.3115898,0.07143133,-0.1301981,-0.7324566,0.6899636,11.14565,33.61576,-2.953634,992.1932
0.314234733,-0.6413764,-0.1340536,-0.05113336,-0.1380398,-0.7329559,0.6788657,11.14435,33.62465,-3.40065,992.1932
0.321837425,-0.4541613,-0.01577502,0.01011381,-0.1374936,-0.7354586,0.6860445,11.14435,33.62465,-3.40065,992.1932
0.329439640,-0.3915558,-0.07497561,-0.1124092,-0.1322664,-0.7279236,0.6731817,11.14435,33.62465,-3.40065,992.1932
0.337042332,-0.391226,0.2798863,-0.1735408,-0.1307499,-0.7294827,0.6837633,11.14435,33.62465,-3.40065,992.1914
0.344645023,0.04446372,0.3386894,0.01023895,-0.1297439,-0.731379,0.6822616,11.14435,33.62465,-3.40065,992.1914
0.352246761,0.230935,0.3976787,0.1325503,-0.1312282,-0.7295489,0.6881103,11.14435,33.62465,-3.40065,992.1914
0.359853268,-0.01805149,0.3381628,-0.05128697,-0.1342098,-0.7275859,0.6814082,10.75838,34.00538,-3.398796,992.1914
0.367452144,-0.01809312,0.04217556,0.1323968,-0.1351659,-0.7286047,0.6838,10.75838,34.00538,-3.398796,992.1914
0.375054836,-0.1424312,0.337823,0.1935673,-0.1307425,-0.7290801,0.6900531,10.75838,34.00538,-3.398796,992.1914
0.382657051,-0.08008034,0.0418547,0.1320512,-0.1390082,-0.7330258,0.6827312,10.75838,34.00538,-3.398796,992.1914
