Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.002840042,0.08768743,-0.5529072,-0.3637089,-0.08388685,-0.705559,0.7004743,4.526254,43.06002,-13.38495,992.2396
0.010448932,0.2732717,-0.669907,-0.3021006,-0.07802883,-0.7055315,0.7052964,4.526254,43.06002,-13.38495,992.2396
0.018058300,-0.03650836,-0.4341606,-0.3017776,-0.07756703,-0.7007279,0.7083269,4.526254,43.06002,-13.38495,992.2396
0.028203487,-0.03648195,-0.492394,-0.1178901,-0.08088147,-0.7089853,0.7096217,4.526254,43.06002,-13.38495,992.2396
0.035811901,-0.03646702,-0.139405,0.004617541,-0.07702313,-0.7079496,0.7071793,4.526254,43.06002,-13.38495,992.2396
0.043421268,-0.2220023,-0.1393474,0.2493487,-0.0804201,-0.7084699,0.7067081,4.159354,43.06229,-12.93392,992.2396
0.051029682,-0.2837599,0.1545302,0.0656054,-0.09024107,-0.7036718,0.6966751,4.159354,43.06229,-12.93392,992.2396
0.058639049,-0.2215647,-0.08061983,0.004374139,-0.08386909,-0.7032006,0.706373,4.159354,43.06229,-12.93392,992.2396
0.066250324,-0.4068478,-0.1393411,0.1879553,-0.07758502,-0.716429,0.6840978,4.159354,43.06229,-12.93392,992.2396
0.073857307,0.6455118,0.8009926,0.1877398,-0.08873793,-0.6951399,0.7153674,4.159354,43.06229,-12.93392,992.2418
0.081465721,-0.716498,-0.1400938,0.06510861,-0.09810641,-0.7022042,0.684113,4.159354,43.06229,-12.93392,992.2418
0.089075088,0.3981589,-0.3160028,-0.2408385,-0.07897814,-0.7093853,0.703266,4.154826,43.4311,-12.93566,992.2418
0.096683502,0.3357587,-0.1983137,-0.424293,-0.09267703,-0.7041664,0.6947356,4.154826,43.4311,-12.93566,992.2418
0.104292869,0.2736312,-0.6681173,-0.7298943,-0.09260038,-0.7047475,0.7054347,4.154826,43.4311,-12.93566,992.2418
0.111897468,0.4590014,-0.7848607,-0.4842404,-0.08237769,-0.7027539,0.7122148,4.154826,43.4311,-12.93566,992.2378
0.119506836,0.2109936,0.2146569,-0.9122204,-0.09995148,-0.6999776,0.7017112,4.154826,43.4311,-12.93566,992.2378
0.129652023,-0.03674953,-1.253883,-1.155791,-0.07167971,-0.7035997,0.7135679,4.154826,43.4311,-12.93566,992.2378
0.137260437,0.1490298,-0.312739,-1.032344,-0.07708139,-0.7097763,0.6959368,4.533355,43.05981,-12.93854,992.2378
0.144869804,0.2107394,-1.017458,-0.8477281,-0.07651009,-0.7055987,0.7145347,4.533355,43.05981,-12.93854,992.2378
0.152478695,0.02493232,-0.07640743,-0.6022131,-0.08141698,-0.7055871,0.7067839,4.533355,43.05981,-12.93854,992.2401
0.160087585,0.2105563,-0.1936716,-0.3568718,-0.08049396,-0.7016976,0.7049196,4.533355,43.05981,-12.93854,992.2401
0.167696476,-0.03706185,-0.1347103,-0.5400054,-0.08824348,-0.7037238,0.7049358,4.533355,43.05981,-12.93854,992.2401
0.175305843,0.1487177,-0.369477,-0.661874,-0.08138453,-0.7099203,0.7057082,4.533355,43.05981,-12.93854,992.2401
0.182914257,0.3962502,-0.07551177,-0.6613273,-0.08630351,-0.7103689,0.6955118,4.533355,43.05981,-12.93854,992.2401
0.190523624,-0.1610266,-0.7217305,-0.5382114,-0.08680557,-0.701298,0.7054678,4.521726,43.42884,-13.38669,992.2401
0.198132038,0.1486477,-0.07470521,-0.6599279,-0.08874772,-0.7056103,0.6995392,4.521726,43.42884,-13.38669,992.2401
0.205741405,0.08646311,-0.5446807,-0.8427761,-0.08778735,-0.7008186,0.7045132,4.521726,43.42884,-13.38669,992.2401
0.213349819,-0.1611548,-0.3678494,-1.209172,-0.08629742,-0.7041822,0.7049091,4.521726,43.42884,-13.38669,992.2401
0.223495483,-0.09908281,-0.3085902,-1.024145,-0.08623568,-0.7114145,0.7042522,4.521726,43.42884,-13.38669,992.2401
0.231104374,0.6437365,-0.4259309,-1.267915,-0.08198269,-0.6973826,0.7060069,4.521726,43.42884,-13.38669,992.2401
0.238713264,-0.5326825,-0.6606265,-1.511495,-0.08235343,-0.7123177,0.7027382,3.773722,43.4338,-13.37743,992.2401
0.246322632,0.08678675,-1.130142,-1.510109,-0.0672942,-0.7126223,0.703581,3.773722,43.4338,-13.37743,992.2401
0.253931045,-0.3465178,0.3400235,-1.080481,-0.08675956,-0.7013608,0.7122835,3.773722,43.4338,-13.37743,992.2401
0.261540413,-0.2224522,-0.4832741,-1.446614,-0.08585171,-0.7069812,0.6951005,3.773722,43.4338,-13.37743,992.2401
0.269148826,-0.4080068,-0.482468,-1.261589,-0.08191632,-0.7022385,0.7093013,3.773722,43.4338,-13.37743,992.2401
0.276758194,-0.4693752,-0.3649543,-1.688663,-0.08200234,-0.7078395,0.6887181,3.773722,43.4338,-13.37743,992.2418
0.284367084,-0.4689524,-0.4817434,-1.442337,-0.07752053,-0.7069864,0.706719,4.166455,43.06207,-12.48751,992.2418
0.291975975,-0.5921524,-0.01135443,-1.318504,-0.08585962,-0.709353,0.6906623,4.166455,43.06207,-12.48751,992.2418
0.299584865,-0.3441553,-0.6578922,-1.562113,-0.07898577,-0.7088984,0.7027906,4.166455,43.06207,-12.48751,992.2418
0.307189941,-0.2200337,-0.06946576,-1.438321,-0.08773546,-0.7080374,0.7023957,4.166455,43.06207,-12.48751,992.2418
0.314798832,-0.52931,-1.303404,-1.865306,-0.06982491,-0.7072692,0.6954488,4.166455,43.06207,-12.48751,992.2418
0.324944019,-0.1571948,0.1082963,-1.55727,-0.08633924,-0.7060313,0.6961007,4.166455,43.06207,-12.48751,992.2418
